environment_id,simplified_edge_id,u,v,network_length,straight_distance,circuity,source_fragment_count,source_shape_provenance
38,env38_simplified_edge_00001,env38_topology_location_0001,env38_topology_location_0010,39.52552524837881,39.52552524835395,1.000000000000629,1,"[""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00002,env38_topology_location_0002,env38_topology_location_0009,72.66467776655305,72.5256109498445,1.0019174856286936,3,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00003,env38_topology_location_0002,env38_topology_location_0010,155.11657020000206,155.00001794522325,1.0007519499437736,4,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00004,env38_topology_location_0002,env38_topology_location_0024,64.86355587740165,61.11085455266527,1.0614080976645859,3,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00005,env38_topology_location_0007,env38_topology_location_0015,78.21786857947046,78.21770208492435,1.0000021286044165,2,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00006,env38_topology_location_0010,env38_topology_location_0012,18.05725404022776,18.03025061736817,1.001497673184508,2,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00007,env38_topology_location_0010,env38_topology_location_0022,28.660957109981563,28.59043357712344,1.002466682873762,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
38,env38_simplified_edge_00008,env38_topology_location_0015,env38_topology_location_0016,80.0538163742815,80.0538163742815,1.0,1,"[""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00009,env38_topology_location_0015,env38_topology_location_0030,93.0250159804337,89.06494631225235,1.0444627188602098,4,"[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""]"
38,env38_simplified_edge_00010,env38_topology_location_0017,env38_topology_location_0022,144.11546268535938,144.11546268486404,1.000000000003437,1,"[""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00011,env38_topology_location_0022,env38_topology_location_0024,106.97443367272766,106.76462887969954,1.0019651151812135,4,"[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""]"
38,env38_simplified_edge_00012,env38_topology_location_0022,env38_topology_location_0040,85.27883358238961,85.07595160317969,1.0023847159554116,2,"[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""]"
