bin_centre_origin_offset_degrees,env38_H_o,env38_H_w,env39_H_o,env39_H_w,H_o_difference_env38_minus_env39,H_w_difference_env38_minus_env39
0.0,3.0131094587621066,3.1312256499064475,1.5143534129805727,1.381012158514464,1.4987560457815339,1.7502134913919836
0.5,3.069789611751977,3.12916217848718,1.5143534129805727,1.381012158514464,1.5554361987714045,1.7481500199727162
1.0,3.074089320042992,3.1512008866807104,1.5143534129805727,1.381012158514464,1.5597359070624193,1.7701887281662465
1.5,3.0651506895083847,3.1488862236595874,1.5143534129805727,1.381012158514464,1.550797276527812,1.7678740651451235
2.0,3.0713798340770104,3.1591970629194774,1.5143534129805727,1.381012158514464,1.5570264210964377,1.7781849044050135
2.5,3.0746863274529055,3.1331716085510624,1.5143534129805727,1.381012158514464,1.5603329144723328,1.7521594500365985
3.0,3.077800853877974,3.1438685764295267,1.5143534129805727,1.381012158514464,1.5634474408974013,1.7628564179150628
3.5,3.0688010054379307,3.1482381279041274,1.5796319791561508,1.4647363383994658,1.4891690262817798,1.6835017895046616
4.0,3.1185858820931176,3.149519138942023,1.841703556675048,1.7360310853874459,1.2768823254180697,1.413488053554577
4.5,3.097260902880741,3.1446474616362576,1.9399302248610155,1.811918528455284,1.1573306780197257,1.3327289331809737
5.0,3.137905505674299,3.146208631929227,2.0106200590986782,1.8414407753813764,1.1272854465756206,1.3047678565478504
5.5,3.093066905091473,3.1343755079356557,1.656583883751704,1.4692514207262046,1.4364830213397692,1.665124087209451
6.0,3.0603055443423215,3.1407420171920393,1.5143534129805727,1.381012158514464,1.5459521313617488,1.7597298586775754
6.5,3.077439933776719,3.1097220552095926,1.5143534129805727,1.381012158514464,1.5630865207961464,1.7287098966951286
7.0,3.0354232133924066,3.1156535238102068,1.5143534129805727,1.381012158514464,1.521069800411834,1.7346413652957429
7.5,2.9877621299110473,3.08632270749412,1.5143534129805727,1.381012158514464,1.4734087169304746,1.7053105489796563
8.0,2.985021372519694,3.0981134694169916,1.5143534129805727,1.381012158514464,1.4706679595391212,1.7171013109025277
8.5,2.9844556268480833,3.094854891472632,1.5143534129805727,1.381012158514464,1.4701022138675106,1.713842732958168
9.0,3.002151599443881,3.1116011879626195,1.5143534129805727,1.381012158514464,1.4877981864633085,1.7305890294481556
9.5,3.008440564565828,3.1022594398742718,1.5143534129805727,1.381012158514464,1.4940871515852554,1.7212472813598079
