environment_id,bin_centre_degrees,bin_lower_edge_degrees,bin_upper_edge_degrees,unweighted_observation_count,unweighted_probability,weighted_detailed_length_unity,weighted_probability
39,0.0,-5.0,5.0,36,0.2571428571428571,2761.310001868099,0.2756731753967975
39,10.0,5.0,15.0,0,0.0,0.0,0.0
39,20.0,15.0,25.0,0,0.0,0.0,0.0
39,30.0,25.0,35.0,0,0.0,0.0,0.0
39,40.0,35.0,45.0,0,0.0,0.0,0.0
39,50.0,45.0,55.0,0,0.0,0.0,0.0
39,60.0,55.0,65.0,0,0.0,0.0,0.0
39,70.0,65.0,75.0,1,0.007142857142857143,0.0,0.0
39,80.0,75.0,85.0,0,0.0,0.0,0.0
39,90.0,85.0,95.0,32,0.22857142857142856,2246.9937583609008,0.2243268246032025
39,100.0,95.0,105.0,0,0.0,0.0,0.0
39,110.0,105.0,115.0,0,0.0,0.0,0.0
39,120.0,115.0,125.0,1,0.007142857142857143,0.0,0.0
39,130.0,125.0,135.0,0,0.0,0.0,0.0
39,140.0,135.0,145.0,0,0.0,0.0,0.0
39,150.0,145.0,155.0,0,0.0,0.0,0.0
39,160.0,155.0,165.0,0,0.0,0.0,0.0
39,170.0,165.0,175.0,0,0.0,0.0,0.0
39,180.0,175.0,185.0,36,0.2571428571428571,2761.310001868099,0.2756731753967975
39,190.0,185.0,195.0,0,0.0,0.0,0.0
39,200.0,195.0,205.0,0,0.0,0.0,0.0
39,210.0,205.0,215.0,0,0.0,0.0,0.0
39,220.0,215.0,225.0,0,0.0,0.0,0.0
39,230.0,225.0,235.0,0,0.0,0.0,0.0
39,240.0,235.0,245.0,0,0.0,0.0,0.0
39,250.0,245.0,255.0,1,0.007142857142857143,0.0,0.0
39,260.0,255.0,265.0,0,0.0,0.0,0.0
39,270.0,265.0,275.0,32,0.22857142857142856,2246.9937583609008,0.2243268246032025
39,280.0,275.0,285.0,0,0.0,0.0,0.0
39,290.0,285.0,295.0,0,0.0,0.0,0.0
39,300.0,295.0,305.0,1,0.007142857142857143,0.0,0.0
39,310.0,305.0,315.0,0,0.0,0.0,0.0
39,320.0,315.0,325.0,0,0.0,0.0,0.0
39,330.0,325.0,335.0,0,0.0,0.0,0.0
39,340.0,335.0,345.0,0,0.0,0.0,0.0
39,350.0,345.0,355.0,0,0.0,0.0,0.0
