environment_id,simplified_edge_id,network_length,straight_distance,individual_circuity,excess_length,excess_share,straight_distance_weight,aggregate_circuity_excess_contribution,source_fragment_count,source_provenance
38,env38_simplified_edge_00012,85.27883358238961,85.07595160317969,1.0023847159554116,0.2028819792099199,0.0018791319491920854,0.01679606419939501,4.00538422844133e-05,2,"{""shape_ids"":[""env38_shape_4330855547456548042"",""env38_shape_4330855547456548042""],""segment_ids"":[""env38_shape_4330855547456548042_segment_0025"",""env38_shape_4330855547456548042_segment_0024""],""fragment_ids"":[""env38_topology_fragment_00054"",""env38_topology_fragment_00053""]}"
38,env38_simplified_edge_00013,119.71801443294311,119.41733042112686,1.0025179260895876,0.3006840118162444,0.0027849932035142948,0.023575888491133252,5.93623447170297e-05,2,"{""shape_ids"":[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""],""segment_ids"":[""env38_shape_4330855547829185599_segment_0013"",""env38_shape_4330855547829185599_segment_0010""],""fragment_ids"":[""env38_topology_fragment_00159"",""env38_topology_fragment_00156""]}"
38,env38_simplified_edge_00014,149.93310300631407,140.85661421664307,1.0644377890250223,9.076488789671004,0.08406818652684278,0.027808525096811615,0.0017919198732853849,6,"{""shape_ids"":[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""],""segment_ids"":[""env38_shape_4330855547529842337_segment_0003"",""env38_shape_4330855547529842337_segment_0002"",""env38_shape_4330855547529842337_segment_0001"",""env38_shape_4330855547529842337_segment_0004"",""env38_shape_4330855547529842337_segment_0005"",""env38_shape_4330855547529842337_segment_0007""],""fragment_ids"":[""env38_topology_fragment_00115"",""env38_topology_fragment_00114"",""env38_topology_fragment_00113"",""env38_topology_fragment_00116"",""env38_topology_fragment_00117"",""env38_topology_fragment_00119""]}"
38,env38_simplified_edge_00015,228.44007725666845,210.64847214606712,1.0844611163296942,17.791605110601324,0.1647892716787211,0.04158713708160957,0.003512496022868765,8,"{""shape_ids"":[""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599"",""env38_shape_4330855547829185599""],""segment_ids"":[""env38_shape_4330855547829185599_segment_0010"",""env38_shape_4330855547829185599_segment_0009"",""env38_shape_4330855547829185599_segment_0008"",""env38_shape_4330855547829185599_segment_0006"",""env38_shape_4330855547829185599_segment_0005"",""env38_shape_4330855547829185599_segment_0004"",""env38_shape_4330855547829185599_segment_0003"",""env38_shape_4330855547829185599_segment_0001""],""fragment_ids"":[""env38_topology_fragment_00155"",""env38_topology_fragment_00154"",""env38_topology_fragment_00153"",""env38_topology_fragment_00151"",""env38_topology_fragment_00150"",""env38_topology_fragment_00149"",""env38_topology_fragment_00148"",""env38_topology_fragment_00144""]}"
38,env38_simplified_edge_00016,185.37170785461072,177.97380472696227,1.0415673707655906,7.397903127648448,0.06852080297288687,0.03513636219959633,0.0014605261949047002,5,"{""shape_ids"":[""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474"",""env38_shape_4330855547524397474""],""segment_ids"":[""env38_shape_4330855547524397474_segment_0024"",""env38_shape_4330855547524397474_segment_0023"",""env38_shape_4330855547524397474_segment_0022"",""env38_shape_4330855547524397474_segment_0021"",""env38_shape_4330855547524397474_segment_0020""],""fragment_ids"":[""env38_topology_fragment_00102"",""env38_topology_fragment_00101"",""env38_topology_fragment_00100"",""env38_topology_fragment_00099"",""env38_topology_fragment_00098""]}"
38,env38_simplified_edge_00017,62.19901125966523,60.58891883207353,1.0265740412377085,1.6100924275916952,0.014912986030707372,0.011961727742078007,0.00031787144629222275,2,"{""shape_ids"":[""env38_shape_4330855546755831596"",""env38_shape_4330855546755831596""],""segment_ids"":[""env38_shape_4330855546755831596_segment_0002"",""env38_shape_4330855546755831596_segment_0001""],""fragment_ids"":[""env38_topology_fragment_00005"",""env38_topology_fragment_00004""]}"
38,env38_simplified_edge_00018,36.35490032886818,36.234209450857364,1.0033308544560495,0.12069087801081935,0.0011178621468963177,0.007153515143616445,2.3827317792532453e-05,1,"{""shape_ids"":[""env38_shape_4330855546755831596""],""segment_ids"":[""env38_shape_4330855546755831596_segment_0002""],""fragment_ids"":[""env38_topology_fragment_00006""]}"
38,env38_simplified_edge_00019,34.3740762925391,34.37407629254339,0.9999999999998751,-4.291678123991005e-12,-3.9750348995244476e-14,0.006786279569312306,-8.472817516036808e-16,1,"{""shape_ids"":[""env38_shape_4330855547456548042""],""segment_ids"":[""env38_shape_4330855547456548042_segment_0024""],""fragment_ids"":[""env38_topology_fragment_00052""]}"
38,env38_simplified_edge_00020,0.01877981148047633,0.01877981148048926,0.9999999999993114,-1.293062878993112e-14,-1.1976597318760036e-16,3.707592020246578e-06,-2.5528209464789732e-18,1,"{""shape_ids"":[""env38_shape_4330855547529842337""],""segment_ids"":[""env38_shape_4330855547529842337_segment_0024""],""fragment_ids"":[""env38_topology_fragment_00143""]}"
38,env38_simplified_edge_00021,39.77863055579262,39.750002653542104,1.0007201987506775,0.028627902250512705,0.0002651571419343493,0.00784761832120444,5.651844910726161e-06,2,"{""shape_ids"":[""env38_shape_4330855547529842337"",""env38_shape_4330855547529842337""],""segment_ids"":[""env38_shape_4330855547529842337_segment_0024"",""env38_shape_4330855547529842337_segment_0023""],""fragment_ids"":[""env38_topology_fragment_00142"",""env38_topology_fragment_00141""]}"
