environment_id,bin_centre_degrees,bin_lower_edge_degrees,bin_upper_edge_degrees,unweighted_observation_count,unweighted_probability,weighted_detailed_length_unity,weighted_probability
38,0.0,-5.0,5.0,18,0.10714285714285714,1421.4124995584123,0.1373824008842563
38,10.0,5.0,15.0,5,0.02976190476190476,166.18411093807603,0.01606203136428115
38,20.0,15.0,25.0,2,0.011904761904761904,158.99436401056803,0.015367127742033481
38,30.0,25.0,35.0,2,0.011904761904761904,110.96423727121847,0.010724918581584348
38,40.0,35.0,45.0,2,0.011904761904761904,80.25416770421512,0.0077567280740798985
38,50.0,45.0,55.0,1,0.005952380952380952,108.24829487216724,0.010462417240445923
38,60.0,55.0,65.0,4,0.023809523809523808,157.2071725445465,0.015194392062195172
38,70.0,65.0,75.0,5,0.02976190476190476,191.7032153069369,0.018528504557459895
38,80.0,75.0,85.0,3,0.017857142857142856,315.0816929651187,0.030453284650073003
38,90.0,85.0,95.0,18,0.10714285714285714,818.1952301814013,0.07908022839906677
38,100.0,95.0,105.0,5,0.02976190476190476,357.16407957480226,0.03452063266423068
38,110.0,105.0,115.0,1,0.005952380952380952,106.42320024291627,0.010286018143009144
38,120.0,115.0,125.0,2,0.011904761904761904,117.57296458881318,0.01136366548015362
38,130.0,125.0,135.0,2,0.011904761904761904,67.83486647698946,0.00655637742257577
38,140.0,135.0,145.0,1,0.005952380952380952,94.3073850899689,0.009115000036091645
38,150.0,145.0,155.0,0,0.0,162.9570071414733,0.015750125237370266
38,160.0,155.0,165.0,0,0.0,184.04829774968255,0.017788641250423155
38,170.0,165.0,175.0,13,0.07738095238095238,554.644400647779,0.05360750621066978
38,180.0,175.0,185.0,18,0.10714285714285714,1421.4124995584123,0.1373824008842563
38,190.0,185.0,195.0,5,0.02976190476190476,166.18411093807603,0.01606203136428115
38,200.0,195.0,205.0,2,0.011904761904761904,158.99436401056803,0.015367127742033481
38,210.0,205.0,215.0,2,0.011904761904761904,110.96423727121847,0.010724918581584348
38,220.0,215.0,225.0,2,0.011904761904761904,80.25416770421512,0.0077567280740798985
38,230.0,225.0,235.0,1,0.005952380952380952,108.24829487216724,0.010462417240445923
38,240.0,235.0,245.0,4,0.023809523809523808,157.2071725445465,0.015194392062195172
38,250.0,245.0,255.0,5,0.02976190476190476,191.7032153069369,0.018528504557459895
38,260.0,255.0,265.0,3,0.017857142857142856,315.0816929651187,0.030453284650073003
38,270.0,265.0,275.0,18,0.10714285714285714,818.1952301814013,0.07908022839906677
38,280.0,275.0,285.0,5,0.02976190476190476,357.16407957480226,0.03452063266423068
38,290.0,285.0,295.0,1,0.005952380952380952,106.42320024291627,0.010286018143009144
38,300.0,295.0,305.0,2,0.011904761904761904,117.57296458881318,0.01136366548015362
38,310.0,305.0,315.0,2,0.011904761904761904,67.83486647698946,0.00655637742257577
38,320.0,315.0,325.0,1,0.005952380952380952,94.3073850899689,0.009115000036091645
38,330.0,325.0,335.0,0,0.0,162.9570071414733,0.015750125237370266
38,340.0,335.0,345.0,0,0.0,184.04829774968255,0.017788641250423155
38,350.0,345.0,355.0,13,0.07738095238095238,554.644400647779,0.05360750621066978
